BenchMark,benign Predicted label,benign Actual label,benign MSE,crash Predicted label,crash Actual label,crash MSE,SDC Predicted label,SDC Actual label,SDC MSE
IS,0.517,0.615,0.009604,0.449,0.359,0.0081,0.233,0.252,0.000361
LU,0.494,0.456,0.001444,0.449,0.331,0.013924,0.248,0.557,0.095481
Nn,0.512,0.331,0.032761,0.449,0.468,0.000361,0.233,0.554,0.103041
Myocyte,0.508,0.793,0.081225,0.45,0.301,0.022201,0.237,0.047,0.0361
Backprop,0.472,0.649,0.031329,0.443,0.468,0.000625,0.265,0.027,0.056644
CG,0.517,0.789,0.073984,0.451,0.052,0.159201,0.23,0.44,0.0441
MG,0.537,0.874,0.113569,0.45,0.245,0.042025,0.217,0.0,0.047089
BT,0.541,0.621,0.0064,0.451,0.177,0.075076,0.219,0.523,0.092416
SP,0.541,0.071,0.2209,0.451,0.457,0.000036,0.219,1.0,0.609961
DC,0.482,0.462,0.0004,0.444,0.571,0.016129,0.258,0.174,0.007056
Lud,0.507,0.832,0.105625,0.448,0.0,0.200704,0.238,0.45,0.044944
Kmeans,0.499,1.0,0.251001,0.446,0.03,0.173056,0.242,0.124,0.013924
STREAM,0.536,0.757,0.048841,0.451,0.245,0.042436,0.222,0.195,0.000729
Blackscholes,0.52,0.635,0.013225,0.451,0.253,0.039204,0.23,0.383,0.023409
PuReMD,0.531,0.0,0.281961,0.453,1.0,0.299209,0.224,0.275,0.002601
Lulesh,0.514,0.576,0.003844,0.45,0.32,0.0169,0.229,0.376,0.021609
Hotspot,0.5,0.532,0.738,0.042436,0.451,0.145,0.093636,0.222,0.379,0.024649
Bfs-rodinia,0.528,0.619,0.008281,0.453,0.266,0.034969,0.224,0.389,0.027225
Nw,0.514,0.637,0.015129,0.448,0.212,0.055696,0.233,0.443,0.0441
Pathfinder,0.514,0.554,0.0016,0.448,0.104,0.118336,0.233,0.748,0.265225
